Nazwisko aktualne,Liczba
ZAGÓRSKI,4063
DUBIEL,4059
JAŚKIEWICZ,4059
MICHAŁEK,4059
MISZTAL,4055
STASZEWSKI,4053
GWÓŹDŹ,4049
RUCIŃSKI,4049
KUC,4041
KAPUSTA,4032
MALICKI,4030
BOŻEK,4013
SIEDLECKI,4011
BIAŁY,4001
JANKOWIAK,3999
ŚWIERCZYŃSKI,3990
KĘPA,3984
MODZELEWSKI,3976
PŁONKA,3975
CISZEWSKI,3974
KUCHTA,3974
ANDRZEJCZAK,3971
GAŁKA,3965
SKÓRA,3959
JANUSZ,3956
BIEŃKOWSKI,3955
JURKOWSKI,3952
SIERADZKI,3950
SŁOWIŃSKI,3948
SŁAWIŃSKI,3947
MILCZAREK,3943
ZWOLIŃSKI,3943
KACZMARSKI,3940
SZCZERBA,3938
STACHURA,3929
PAWLIKOWSKI,3925
SZYSZKA,3925
SITEK,3911
SOCHACKI,3905
JEZIERSKI,3898
ROSA,3889
STĘPNIAK,3884
JACKOWSKI,3869
KOLASA,3855
WOŚ,3849
BRODA,3847
DUDZIK,3845
CHMURA,3834
LIPKA,3834
MROCZKOWSKI,3830
SHEVCHENKO,3826
OLCZAK,3815
IWAŃSKI,3812
MAŚLANKA,3812
NOGA,3812
DEC,3810
MAJKA,3805
KWIECIŃSKI,3801
KNAPIK,3796
KOGUT,3795
CHOJNOWSKI,3781
SALAMON,3777
SZATKOWSKI,3768
SKALSKI,3767
MAŃKOWSKI,3757
TRZECIAK,3754
TOKARZ,3746
DUDZIAK,3738
LENART,3736
BOIKO,3735
FLORCZAK,3732
WYSZYŃSKI,3731
KOZA,3730
DOBRZYŃSKI,3728
KOWALCZUK,3727
KITA,3725
PASZKOWSKI,3725
KOBUS,3711
MICHALCZYK,3706
KOŁAKOWSKI,3704
SKOWRONEK,3703
STANISŁAWSKI,3703
KOS,3702
ZDUNEK,3702
BUCZYŃSKI,3700
KRUSZEWSKI,3700
MROZEK,3700
MOLENDA,3697
KOTOWSKI,3690
WŁODARSKI,3690
JANUSZEWSKI,3683
PUCHALSKI,3681
KAWA,3669
KIEŁBASA,3656
CHUDY,3637
WARCHOŁ,3635
ŻUK,3630
IVANOV,3629
DOMINIAK,3627
GRZESIK,3624
CZECHOWSKI,3620
MOROZ,3619
ROBAK,3611
ADAMCZAK,3601
PRUS,3598
ADAMUS,3597
AUGUSTYN,3596
PILCH,3596
PIECHOTA,3590
WIĄCEK,3582
KŁOSOWSKI,3573
RYŚ,3564
CHUDZIK,3560
MACIĄG,3559
ADAMEK,3554
RUDNIK,3551
SURMA,3547
JAGIELSKI,3546
JURCZAK,3537
STOLARSKI,3536
BĄKOWSKI,3535
RUDZIŃSKI,3533
GŁOGOWSKI,3532
KOPER,3531
PRZYBYŁ,3530
FILIPOWICZ,3526
KALISZ,3521
JARZĄBEK,3519
MALIK,3519
NIEDŹWIECKI,3518
ŻYŁA,3518
TOMALA,3511
MARCHEWKA,3506
MOSKAL,3506
DĄBKOWSKI,3504
KASPEREK,3495
BANASIK,3494
KUŹMA,3494
PORĘBSKI,3493
BUDZYŃSKI,3483
STAŃCZAK,3476
OLEKSY,3468
FURMAN,3462
KOPACZ,3461
GADOMSKI,3447
NIEMCZYK,3445
GORCZYCA,3444
PIŁAT,3442
SOŁTYSIAK,3437
KANIEWSKI,3436
ROMAN,3428
BUCZKOWSKI,3427
TRACZ,3427
WYPYCH,3417
ZIĘTEK,3415
JAROS,3413
MIŚKIEWICZ,3412
GOLEC,3388
BARTNIK,3386
SZELĄG,3380
KORZENIOWSKI,3379
SOJKA,3376
SZYMKOWIAK,3375
KUCIŃSKI,3373
DRABIK,3371
STACHURSKI,3356
PANASIUK,3355
KRUCZEK,3352
WOLIŃSKI,3338
TRELA,3336
BALCERZAK,3334
OSSOWSKI,3330
PELC,3328
ZABŁOCKI,3328
STACHOWICZ,3327
MAGIERA,3326
BŁASZCZAK,3324
PIOTROWICZ,3324
KUJAWSKI,3323
ADAMIAK,3316
WARZECHA,3316
RADECKI,3309
BUDZIŃSKI,3308
SZUBA,3305
ŚLĘZAK,3305
JURCZYK,3304
RYBARCZYK,3304
SĘK,3304
BIELSKI,3297
DRÓŻDŻ,3292
PIETRUSZKA,3292
FRĄTCZAK,3289
LESIAK,3288
KOZIK,3282
GŁĄB,3280
HERMAN,3278
BIAŁKOWSKI,3276
RUDZKI,3276
KULIŃSKI,3270
MIERZWA,3269
KMIEĆ,3267
KOVALENKO,3259
BONDARENKO,3257
KRAKOWSKI,3257
SHEVCHUK,3257
NIEDZIELSKI,3255
KOSTECKI,3249
