IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
BERNARDA,KOBIETA,4502
NATALLIA,KOBIETA,4412
RAISA,KOBIETA,4378
ALEXANDRA,KOBIETA,4376
VARVARA,KOBIETA,4367
ERYKA,KOBIETA,4298
BOHDANA,KOBIETA,4212
ANZHELA,KOBIETA,4185
IRINA,KOBIETA,4119
KAMILLA,KOBIETA,4076
LILA,KOBIETA,4066
LONGINA,KOBIETA,4058
PELAGIA,KOBIETA,3967
RYSZARDA,KOBIETA,3936
NEL,KOBIETA,3873
MIRELA,KOBIETA,3842
FAUSTYNA,KOBIETA,3790
DARYA,KOBIETA,3784
EVA,KOBIETA,3759
WALERIA,KOBIETA,3756
MARINA,KOBIETA,3736
JAGNA,KOBIETA,3692
TEODOZJA,KOBIETA,3666
TEODORA,KOBIETA,3624
SNIZHANA,KOBIETA,3592
ANASTASIA,KOBIETA,3591
NATALIYA,KOBIETA,3588
MARIYA,KOBIETA,3526
JAŚMINA,KOBIETA,3520
SAMANTA,KOBIETA,3507
YAROSLAVA,KOBIETA,3498
EMILIIA,KOBIETA,3425
OLIMPIA,KOBIETA,3422
ADELAJDA,KOBIETA,3408
MARYIA,KOBIETA,3381
KSENIA,KOBIETA,3287
MARCELA,KOBIETA,3258
ZORIANA,KOBIETA,3237
GALYNA,KOBIETA,3172
MARYLA,KOBIETA,3154
OKTAWIA,KOBIETA,3059
EMILY,KOBIETA,3046
KONSTANCJA,KOBIETA,3043
NOEMI,KOBIETA,3029
NIKOL,KOBIETA,3006
EVELINA,KOBIETA,2978
SOPHIE,KOBIETA,2957
CLAUDIA,KOBIETA,2923
LEA,KOBIETA,2905
PAMELA,KOBIETA,2861
LUCJA,KOBIETA,2849
ANZHELIKA,KOBIETA,2829
ZYTA,KOBIETA,2820
VIKTORYIA,KOBIETA,2760
WANESSA,KOBIETA,2731
ZOIA,KOBIETA,2681
NELIA,KOBIETA,2610
STELLA,KOBIETA,2609
IULIIA,KOBIETA,2579
MILA,KOBIETA,2576
MICHELLE,KOBIETA,2567
ANA,KOBIETA,2560
LARA,KOBIETA,2552
TETYANA,KOBIETA,2543
ZINAIDA,KOBIETA,2541
SVIATLANA,KOBIETA,2539
BOGNA,KOBIETA,2531
TOLA,KOBIETA,2526
LEONARDA,KOBIETA,2513
MIRELLA,KOBIETA,2507
INEZ,KOBIETA,2501
LIUDMILA,KOBIETA,2418
SARAH,KOBIETA,2393
GANNA,KOBIETA,2379
SVETLANA,KOBIETA,2368
ALIAKSANDRA,KOBIETA,2343
